number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
82,0.8490900762820852,2026-02-08 12:43:01.209148,2026-02-08 12:43:02.362566,0 days 00:00:01.153418,0.6095656497798471,0.6259380088264418,0.012673905613073749,3,7,495,2.4997871574727232e-08,2.8213433344135575e-05,0.748586414473316,COMPLETE
83,0.8487436064572579,2026-02-08 12:43:02.387748,2026-02-08 12:43:03.171960,0 days 00:00:00.784212,0.6099283907561909,0.7191828545121931,0.015274712186512659,3,6,540,2.76501101256285e-08,1.197067576843593e-05,0.7450269595042656,COMPLETE
84,0.84749631508788,2026-02-08 12:43:03.193880,2026-02-08 12:43:03.618866,0 days 00:00:00.424986,0.6463377067395438,0.5417255063436732,0.012347363284824818,3,7,352,1.0815896699856977e-07,5.6639860813794355e-05,0.7862860230270612,COMPLETE
85,0.8494553376906318,2026-02-08 12:43:03.639626,2026-02-08 12:43:04.912913,0 days 00:00:01.273287,0.6932003332432128,0.6030291890886786,0.01111188726819874,4,8,500,3.924945190159628e-08,4.004892669691571e-05,0.803081653061237,COMPLETE
86,0.8484946179729753,2026-02-08 12:43:04.938456,2026-02-08 12:43:06.112699,0 days 00:00:01.174243,0.6919821267085435,0.5811112637521451,0.010017896594472893,4,8,419,0.0002000275737794621,0.00033063039187726707,0.8113679095011878,COMPLETE
87,0.8482708806793158,2026-02-08 12:43:06.136309,2026-02-08 12:43:06.861360,0 days 00:00:00.725051,0.6622812838908627,0.6715927523595949,0.011124821964870794,4,8,446,4.006500222446263e-08,0.00011848522350162693,0.9101848879941651,COMPLETE
88,0.8422740165248489,2026-02-08 12:43:06.888506,2026-02-08 12:43:08.216949,0 days 00:00:01.328443,0.700596650759155,0.6114984688672669,0.01737732876770974,5,6,592,2.1175880307382851e-07,0.00016595399748207265,0.8243007989608395,COMPLETE
89,0.847240866996694,2026-02-08 12:43:08.244295,2026-02-08 12:43:10.117606,0 days 00:00:01.873311,0.7323524036935625,0.7839919001371151,0.014366443640445252,4,8,568,6.382357519659194e-08,4.2100277738319824e-05,0.8712002047497658,COMPLETE
90,0.8416791454527304,2026-02-08 12:43:10.140378,2026-02-08 12:43:13.152720,0 days 00:00:03.012342,0.9289920720178524,0.009464365895478916,0.011556670116991782,10,5,505,1.003241775764721e-08,0.0007990514426465528,0.7336073225909426,COMPLETE
91,0.8491082806288134,2026-02-08 12:43:13.178437,2026-02-08 12:43:13.734415,0 days 00:00:00.555978,0.9901806934375473,0.6348139365885366,0.012091327339403778,3,7,492,2.6362587305213734e-08,2.531169684513718e-05,0.7222992269496261,COMPLETE
92,0.8496127172042821,2026-02-08 12:43:13.755605,2026-02-08 12:43:14.360562,0 days 00:00:00.604957,0.9911846581879185,0.7048100335503311,0.010618028382549638,3,6,522,1.513488663655326e-08,7.441399257079981e-05,0.7264371852741482,COMPLETE
93,0.8488604666185132,2026-02-08 12:43:14.382833,2026-02-08 12:43:15.543810,0 days 00:00:01.160977,0.9901496256035828,0.553236746524154,0.010928093568940579,3,6,462,3.8636397099107103e-08,8.217366093083271e-05,0.7233197235497298,COMPLETE
94,0.7952815507754464,2026-02-08 12:43:15.566479,2026-02-08 12:43:16.859754,0 days 00:00:01.293275,0.9974380539108928,0.809438532680589,0.29362616728784546,4,9,518,0.006627130152405837,4.900014365048431e-05,0.7090680196895466,COMPLETE
95,0.8490780379237648,2026-02-08 12:43:16.884516,2026-02-08 12:43:17.625412,0 days 00:00:00.740896,0.9795174846051196,0.7400723559199127,0.01580710369160093,3,6,395,1.7644720855416562e-08,7.285554484161222e-05,0.9304205912033181,COMPLETE
96,0.8487271638215035,2026-02-08 12:43:17.649956,2026-02-08 12:43:18.342758,0 days 00:00:00.692802,0.9770522853920521,0.8435685180283257,0.011845560545077358,4,6,548,8.289477825360794e-08,6.6170909494462235e-06,0.6942854984656176,COMPLETE
97,0.8488434367457675,2026-02-08 12:43:18.361431,2026-02-08 12:43:19.327215,0 days 00:00:00.965784,0.9911721294033277,0.5063695845116499,0.013454645081310604,3,5,413,0.03400098029876151,1.2398083627620403e-05,0.9951044316921541,COMPLETE
98,0.8494024863614209,2026-02-08 12:43:19.353406,2026-02-08 12:43:20.742031,0 days 00:00:01.388625,0.9995204068970835,0.6630294466786272,0.010780120154169043,4,7,471,1.505437137809362e-07,2.9665616627531474e-05,0.765120540366326,COMPLETE
99,0.8486913423650382,2026-02-08 12:43:20.764652,2026-02-08 12:43:21.512240,0 days 00:00:00.747588,0.999875203151807,0.712772393863542,0.01033222907230415,5,8,358,1.476839712186027e-07,0.00032699593151464885,0.7638496783427536,COMPLETE
